transaction_id,merchant_id,category,region,channel,merchant_segment,transaction_date,amount,status
1,2126,Restaurant,East,Online,Small,2025-12-25,964.2,Approved
2,2459,Electronics,West,Online,Small,2026-03-30,6259.8,Approved
3,1860,Retail,South,Online,Small,2026-01-24,973.69,Approved
4,2294,Restaurant,North,In-Store,Large,2025-09-26,623.27,Approved
5,2130,Restaurant,East,Online,Large,2025-09-13,871.82,Approved
6,2095,Grocery,West,In-Store,Small,2026-04-09,2757.75,Approved
7,2724,Grocery,East,Online,Large,2026-01-14,634.1,Approved
8,2044,Retail,West,In-Store,Small,2026-05-29,3219.55,Declined
9,2638,Grocery,East,In-Store,Medium,2025-08-29,256.65,Approved
10,1121,Grocery,South,Online,Small,2026-01-11,340.67,Approved
11,1466,Fuel,East,Online,Small,2026-06-03,1991.9,Approved
12,2238,Travel,North,In-Store,Small,2025-09-04,9274.74,Approved
13,1330,Grocery,South,In-Store,Small,2026-02-17,419.77,Approved
14,2482,Grocery,East,In-Store,Small,2025-07-06,2403.42,Declined
15,1087,Retail,West,Online,Medium,2026-02-05,2484.69,Approved
16,2396,Retail,West,Online,Small,2025-12-20,814.52,Approved
17,2123,Retail,North,In-Store,Large,2025-08-08,5965.63,Approved
18,1871,Restaurant,East,In-Store,Medium,2026-03-10,1389.63,Approved
19,2687,Retail,West,In-Store,Medium,2025-09-20,1809.4,Approved
20,1130,Retail,East,In-Store,Large,2025-07-22,2462.22,Approved
21,2685,Restaurant,North,In-Store,Medium,2025-09-05,566.73,Approved
22,2332,Restaurant,North,Online,Small,2025-11-30,1010.77,Approved
23,1769,Retail,South,In-Store,Small,2026-05-22,3218.4,Approved
24,1343,Grocery,East,Online,Small,2025-09-19,948.67,Approved
25,2515,Electronics,North,Online,Small,2025-11-11,11564.28,Approved
26,2437,Travel,East,In-Store,Large,2025-08-09,8237.01,Approved
27,1805,Retail,North,Online,Large,2026-06-02,941.53,Approved
28,1385,Retail,South,In-Store,Medium,2025-10-16,406.12,Approved
29,2215,Restaurant,South,Online,Medium,2025-08-02,381.12,Approved
30,1955,Restaurant,South,Online,Small,2026-05-05,255.37,Approved
31,1276,Electronics,East,Online,Small,2026-02-01,4116.22,Approved
32,2184,Retail,North,In-Store,Medium,2026-04-20,483.68,Approved
33,1459,Electronics,North,In-Store,Medium,2026-02-25,1436.56,Approved
34,2337,Grocery,East,In-Store,Small,2025-09-12,624.44,Approved
35,1021,Restaurant,West,Online,Medium,2026-03-17,1922.7,Approved
36,1252,Travel,East,In-Store,Small,2025-10-22,28825.42,Approved
37,1747,Retail,West,In-Store,Small,2025-12-23,669.93,Approved
38,1856,Retail,West,In-Store,Medium,2026-04-10,1331.48,Approved
39,2584,Travel,West,Online,Small,2025-08-10,1785.58,Approved
40,1474,Fuel,West,Online,Small,2025-08-24,403.33,Approved
41,2082,Electronics,West,Online,Medium,2025-07-16,2147.69,Approved
42,1510,Fuel,West,In-Store,Small,2025-11-16,776.97,Approved
43,2705,Restaurant,South,Online,Medium,2025-07-29,988.95,Approved
44,2499,Restaurant,South,In-Store,Large,2025-12-29,698.22,Approved
45,1699,Restaurant,West,In-Store,Small,2025-07-31,869.33,Approved
46,1975,Retail,North,In-Store,Medium,2025-07-11,1055.2,Approved
47,2806,Retail,West,Online,Small,2025-10-25,918.46,Approved
48,1189,Grocery,South,Online,Large,2026-05-21,1150.27,Approved
49,1957,Travel,North,Online,Medium,2025-12-10,2464.51,Declined
50,1686,Fuel,West,In-Store,Small,2025-07-25,566.58,Approved
51,1957,FUEL,South,In-Store,Small,2025-12-25,114.52,Approved
52,1562,Restaurant,West,In-Store,Small,2025-12-30,1124.23,Approved
53,2899,Electronics,North,Online,Small,2025-10-07,17239.48,Approved
54,2590,Retail,West,Online,Medium,2026-06-14,1218.14,Approved
55,2267,Retail,East,Online,Small,2026-04-30,1452.59,Approved
56,1831,Electronics,North,Online,Small,2025-12-04,2581.56,Approved
57,2528,Restaurant,North,In-Store,Small,2025-11-19,736.73,Approved
58,2154,Electronics,East,In-Store,Large,2026-05-26,8068.25,Approved
59,2508,Grocery,West,Online,Medium,2025-07-20,1288.54,Approved
60,2842,Electronics,East,In-Store,Medium,2026-04-17,3712.11,Approved
61,1646,Fuel,South,In-Store,Medium,2026-02-14,488.15,Approved
62,1020,Travel,West,Online,Medium,2026-02-05,10894.77,Approved
63,1840,Restaurant,West,In-Store,Small,2025-07-06,612.45,Approved
64,1166,Restaurant,West,In-Store,Medium,2026-03-25,1545.41,Approved
65,2297,Retail,East,In-Store,Small,2025-11-20,674.73,Approved
66,1387,Restaurant,North,Online,Medium,2026-05-09,983.43,Approved
67,1600,Electronics,South,In-Store,Small,2025-11-11,11944.95,Approved
68,1315,Retail,West,Online,Medium,2025-12-31,6040.8,Declined
69,1013,Fuel,South,Online,Small,2026-04-19,428.82,Approved
70,1241,Grocery,South,In-Store,Medium,2025-11-20,2636.59,Approved
71,1776,Restaurant,East,In-Store,Small,2026-02-18,152.78,Approved
72,2369,Retail,South,In-Store,Medium,2026-01-29,479.17,Approved
73,1564,Retail,West,In-Store,Small,2026-04-14,965.7,Approved
74,1897,Retail,North,Online,Small,2025-10-21,2658.47,Approved
